,id,author_id,lang,text,title,created_at,url,source,normalized_text,type,probability,tag 1,tag 2,tag 3,tag 4,tag 5,Mentions Total,retweet count,reply count,like count,quote count,possibly_sensitive
88,1453476060943814661,1318334474,en,RT @FabuRocks: We're joining up with @ROCCAT through their new 📢ROCCAT Streamer Initiative &amp; they want the #FabuFam &amp; #FabuArmy to join…,,2021-10-27T21:37:51.000Z,,Twitter Web App,,,,FabuFam,FabuArmy,,,,2,411,0,0,0,False
89,1453476042874761216,288299335,en,"RT @chloexhalle: new video for don’t make it harder on me is out now!
presented by @hondastage #ad https://t.co/XtXiQN4aTH",,2021-10-27T21:37:47.000Z,https://t.co/XtXiQN4aTH,Twitter for Android,,,,ad,,,,,2,13961,0,0,0,False
90,1453476035257901059,3388074669,en,"RT @ericjwriting: Amazon Launchpad
https://t.co/d7WRfuMKRT
#ad #deals #onlineshopping
#New",,2021-10-27T21:37:45.000Z,https://t.co/d7WRfuMKRT,Twitter Web App,Amazon,Organization,0.4202,ad,deals,onlineshopping,New,,1,1,0,0,0,False
91,1453475984234090498,1303375647318835202,en,"#Intel Core i9 12th Gen i9-12900K Processor ~ Back @ Amazon! ($707.50):

https://t.co/tgl03QM1bc #Ad
~Now OOS @ Newegg~

#PCGaming #PC #PCGamer #Tech #Gaming #Gamer #Deals #Restock https://t.co/vy7TqcRBWE",,2021-10-27T21:37:33.000Z,https://t.co/tgl03QM1bc,Twitter for Android,,,,Intel,Ad,PCGaming,PC,PCGamer,0,0,0,1,0,False
92,1453475982548013062,2389208162,en,"RT @solefed: Dropped today - Nike Air VaporMax Plus 'Rough Green/Black/Sequoia'

https://t.co/zFge3pr7ty

#Ad https://t.co/nDlZWCh7zA",,2021-10-27T21:37:33.000Z,https://t.co/zFge3pr7ty,Twitter for iPhone,Nike Air VaporMax Plus,Product,0.9292,Ad,,,,,1,1,0,0,0,True
93,1453475935274033160,2790938994,en,"RT @snkr_twitr: CORRECTION: Dropping tomorrow 3pm PT/6pm ET via Urbanstar 

Nike Dunk Low ‘Halloween’
-&gt;  https://t.co/08XnrlyxQr

Nike Air…",,2021-10-27T21:37:21.000Z,https://t.co/08XnrlyxQr,Twitter for iPhone,Nike Dunk Low,Product,0.421,,,,,,1,24,0,0,0,False
94,1453475924058394625,501464548,en,Fancy being #spammed with this #ad #advert promoting #animal #cruelty @animaljusticeAU #NuptotheCup @TwitterSupport https://t.co/OchZL5TZtf,,2021-10-27T21:37:19.000Z,https://t.co/OchZL5TZtf,Twitter for iPhone,,,,spammed,ad,advert,animal,cruelty,2,0,0,0,0,False
95,1453475917800607744,4846392425,en,"RT @davelackie: I'm co-hosting the Beauty's Best Awards 2021 #bbawards2021 on Thursday, Oct 28 at 6 pm ET with a live webcast at https://t.…",,2021-10-27T21:37:17.000Z,,Twitter Web App,,,,bbawards2021,,,,,1,213,0,0,0,False
96,1453475885051482124,4846392425,en,RT @davelackie: Excited to be co-hosting the Beauty's Best Awards 2021 #bbawards2021 on Thursday at 6 pm EST with a live broadcast on https…,,2021-10-27T21:37:09.000Z,,Twitter Web App,,,,bbawards2021,,,,,1,68,0,0,0,False
97,1453475881486192643,1122250512902934528,en,"RT @falcodrin: 🔥 BESTBUY : XFX Radeon RX 6600 XT Speedster QICK308- $599.99

Link: https://t.co/EHtgTkhpNI

ATC: https://t.co/tDdhv0HM3v

#…",,2021-10-27T21:37:09.000Z,https://t.co/EHtgTkhpNI,Twitter for Android,XFX Radeon RX 6600 XT Speedster QICK308,Product,0.5244,,,,,,1,1,0,0,0,False
98,1453475866957139969,1349702570739183618,en,"Apple 13"" MacBook Air Silver | 1.6GHz i5 16GB 1TB SSD Certified Refurbished 2019 https://t.co/Z4TSHkiPG6 #ad #refurbished #deals",,2021-10-27T21:37:05.000Z,https://t.co/Z4TSHkiPG6,dlvr.it,Apple 13,Product,0.8661,ad,refurbished,deals,,,0,0,0,0,0,False
99,1453475856186183681,741458105406365696,en,"RT @allkpop: JEON SOMI's first debut studio album, XOXO is here and we can't wait to see what she has in store for us.🥺 Bask in SOMI's gorg…",,2021-10-27T21:37:03.000Z,,Twitter for Android,JEON SOMI,Person,0.7141,,,,,,1,53,0,0,0,False
